Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE,Duration_min,Set_Volume,DateOnly,Week,DOW
2025-03-03 11:03:36,Usual Workout (Monday),1h 36min,Triceps Pushdown (Cable - Straight Bar),2,70.0,10,0.0,0,,,,96,700.0,2025-03-03,2025-03-03,Monday
2025-03-03 11:03:36,Usual Workout (Monday),1h 36min,Triceps Pushdown (Cable - Straight Bar),3,70.0,10,0.0,0,,,,96,700.0,2025-03-03,2025-03-03,Monday
2025-03-03 11:03:36,Usual Workout (Monday),1h 36min,Cable Curl,1,60.0,10,0.0,0,,,,96,600.0,2025-03-03,2025-03-03,Monday
2025-03-03 11:03:36,Usual Workout (Monday),1h 36min,Cable Curl,2,60.0,10,0.0,0,,,,96,600.0,2025-03-03,2025-03-03,Monday
2025-03-03 11:03:36,Usual Workout (Monday),1h 36min,Cable Curl,3,60.0,10,0.0,0,,,,96,600.0,2025-03-03,2025-03-03,Monday
2025-03-03 11:03:36,Usual Workout (Monday),1h 36min,Oblique Scrunches,1,0.0,10,0.0,0,,,,96,,2025-03-03,2025-03-03,Monday
2025-03-03 11:03:36,Usual Workout (Monday),1h 36min,Lat Pulldown (Cable),2,65.0,10,0.0,0,,,,96,650.0,2025-03-03,2025-03-03,Monday
2025-03-03 11:03:36,Usual Workout (Monday),1h 36min,Lat Pulldown (Cable),3,65.0,10,0.0,0,,,,96,650.0,2025-03-03,2025-03-03,Monday
2025-03-03 11:03:36,Usual Workout (Monday),1h 36min,Basic Scrunches,1,0.0,15,0.0,0,,,,96,,2025-03-03,2025-03-03,Monday
2025-03-03 11:03:36,Usual Workout (Monday),1h 36min,Basic Scrunches,2,0.0,16,0.0,0,,,,96,,2025-03-03,2025-03-03,Monday
2025-03-03 11:03:36,Usual Workout (Monday),1h 36min,Lat Pulldown (Cable),1,65.0,10,0.0,0,,,,96,650.0,2025-03-03,2025-03-03,Monday
2025-03-06 10:40:49,Usual Workout (Thursday),1h 41min,Cable Curl,2,65.0,7,0.0,0,,,,101,455.0,2025-03-06,2025-03-03,Thursday
2025-03-06 10:40:49,Usual Workout (Thursday),1h 41min,Cable Curl,3,65.0,5,0.0,0,,,,101,325.0,2025-03-06,2025-03-03,Thursday
2025-03-06 10:40:49,Usual Workout (Thursday),1h 41min,Cable Curl,4,65.0,10,0.0,0,,,,101,650.0,2025-03-06,2025-03-03,Thursday
2025-03-06 10:40:49,Usual Workout (Thursday),1h 41min,Oblique Scrunches,1,0.0,10,0.0,0,,,,101,,2025-03-06,2025-03-03,Thursday
2025-03-06 10:40:49,Usual Workout (Thursday),1h 41min,Oblique Scrunches,2,0.0,10,0.0,0,,,,101,,2025-03-06,2025-03-03,Thursday
2025-03-06 10:40:49,Usual Workout (Thursday),1h 41min,Basic Scrunches,1,0.0,15,0.0,0,,,,101,,2025-03-06,2025-03-03,Thursday
2025-03-06 10:40:49,Usual Workout (Thursday),1h 41min,Triceps Pushdown (Cable - Straight Bar),3,70.0,10,0.0,0,,,,101,700.0,2025-03-06,2025-03-03,Thursday
2025-03-06 10:40:49,Usual Workout (Thursday),1h 41min,Basic Scrunches,2,0.0,15,0.0,0,,,,101,,2025-03-06,2025-03-03,Thursday
2025-03-06 10:40:49,Usual Workout (Thursday),1h 41min,Basic Scrunches,3,0.0,15,0.0,0,,,,101,,2025-03-06,2025-03-03,Thursday
2025-03-06 10:40:49,Usual Workout (Thursday),1h 41min,Seated Row (Cable),1,65.0,10,0.0,0,,,,101,650.0,2025-03-06,2025-03-03,Thursday
2025-03-06 10:40:49,Usual Workout (Thursday),1h 41min,Seated Row (Cable),2,65.0,10,0.0,0,,,,101,650.0,2025-03-06,2025-03-03,Thursday
2025-03-06 10:40:49,Usual Workout (Thursday),1h 41min,Seated Row (Cable),3,65.0,10,0.0,0,,,,101,650.0,2025-03-06,2025-03-03,Thursday
2025-03-06 10:40:49,Usual Workout (Thursday),1h 41min,Oblique Scrunches,3,0.0,10,0.0,0,,,,101,,2025-03-06,2025-03-03,Thursday
2025-03-06 10:40:49,Usual Workout (Thursday),1h 41min,Triceps Pushdown (Cable - Straight Bar),2,70.0,10,0.0,0,,,,101,700.0,2025-03-06,2025-03-03,Thursday
2025-03-06 10:40:49,Usual Workout (Thursday),1h 41min,Cable Curl,1,65.0,10,0.0,0,,,,101,650.0,2025-03-06,2025-03-03,Thursday
2025-03-06 10:40:49,Usual Workout (Thursday),1h 41min,Hip Thrust (Barbell),1,66.0,10,0.0,0,,,,101,660.0,2025-03-06,2025-03-03,Thursday
2025-03-06 10:40:49,Usual Workout (Thursday),1h 41min,Running (Treadmill),1,0.0,0,0.25,300,,,,101,,2025-03-06,2025-03-03,Thursday
2025-03-06 10:40:49,Usual Workout (Thursday),1h 41min,Triceps Pushdown (Cable - Straight Bar),1,70.0,10,0.0,0,,,,101,700.0,2025-03-06,2025-03-03,Thursday
2025-03-06 10:40:49,Usual Workout (Thursday),1h 41min,Hip Thrust (Barbell),2,146.0,10,0.0,0,,,,101,1460.0,2025-03-06,2025-03-03,Thursday
2025-03-06 10:40:49,Usual Workout (Thursday),1h 41min,Hip Thrust (Barbell),3,146.0,10,0.0,0,,,,101,1460.0,2025-03-06,2025-03-03,Thursday
2025-03-06 10:40:49,Usual Workout (Thursday),1h 41min,Incline Bench Press (Dumbbell),1,15.0,10,0.0,0,,,,101,150.0,2025-03-06,2025-03-03,Thursday
2025-03-06 10:40:49,Usual Workout (Thursday),1h 41min,Incline Bench Press (Dumbbell),2,15.0,10,0.0,0,,,,101,150.0,2025-03-06,2025-03-03,Thursday
2025-03-06 10:40:49,Usual Workout (Thursday),1h 41min,Seated Row (Cable),3,65.0,10,0.0,0,,,,101,650.0,2025-03-06,2025-03-03,Thursday
2025-03-06 10:40:49,Usual Workout (Thursday),1h 41min,Seated Overhead Press (Dumbbell),1,15.0,10,0.0,0,,,,101,150.0,2025-03-06,2025-03-03,Thursday
2025-03-06 10:40:49,Usual Workout (Thursday),1h 41min,Seated Overhead Press (Dumbbell),2,15.0,8,0.0,0,,,,101,120.0,2025-03-06,2025-03-03,Thursday
2025-03-06 10:40:49,Usual Workout (Thursday),1h 41min,Seated Overhead Press (Dumbbell),3,15.0,8,0.0,0,,,,101,120.0,2025-03-06,2025-03-03,Thursday
2025-03-06 10:40:49,Usual Workout (Thursday),1h 41min,Seated Row (Cable),1,65.0,10,0.0,0,,,,101,650.0,2025-03-06,2025-03-03,Thursday
2025-03-06 10:40:49,Usual Workout (Thursday),1h 41min,Seated Row (Cable),2,65.0,10,0.0,0,,,,101,650.0,2025-03-06,2025-03-03,Thursday
2025-03-06 10:40:49,Usual Workout (Thursday),1h 41min,Incline Bench Press (Dumbbell),3,12.5,10,0.0,0,,,,101,125.0,2025-03-06,2025-03-03,Thursday
2025-03-17 10:36:00,Usual Workout (Monday),1h 36min,Stair Master ,1,0.0,10,0.0,0,,,,96,,2025-03-17,2025-03-17,Monday
2025-03-17 10:36:00,Usual Workout (Monday),1h 36min,Hip Thrust (Barbell),4,146.0,10,0.0,0,,,,96,1460.0,2025-03-17,2025-03-17,Monday
2025-03-17 10:36:00,Usual Workout (Monday),1h 36min,Hip Thrust (Barbell),3,146.0,10,0.0,0,,,,96,1460.0,2025-03-17,2025-03-17,Monday
2025-03-17 10:36:00,Usual Workout (Monday),1h 36min,Hip Thrust (Barbell),2,146.0,10,0.0,0,,,,96,1460.0,2025-03-17,2025-03-17,Monday
2025-03-17 10:36:00,Usual Workout (Monday),1h 36min,Hip Thrust (Barbell),1,111.0,10,0.0,0,,,,96,1110.0,2025-03-17,2025-03-17,Monday
2025-03-17 10:36:00,Usual Workout (Monday),1h 36min,Face Pull (Cable),3,45.0,10,0.0,0,,,,96,450.0,2025-03-17,2025-03-17,Monday
2025-03-17 10:36:00,Usual Workout (Monday),1h 36min,Face Pull (Cable),2,40.0,10,0.0,0,,,,96,400.0,2025-03-17,2025-03-17,Monday
2025-03-17 10:36:00,Usual Workout (Monday),1h 36min,Face Pull (Cable),1,40.0,10,0.0,0,,,,96,400.0,2025-03-17,2025-03-17,Monday
2025-03-17 10:36:00,Usual Workout (Monday),1h 36min,Oblique Scrunches,3,0.0,10,0.0,0,,,,96,,2025-03-17,2025-03-17,Monday
2025-03-17 10:36:00,Usual Workout (Monday),1h 36min,Oblique Scrunches,2,0.0,10,0.0,0,,,,96,,2025-03-17,2025-03-17,Monday
2025-03-17 10:36:00,Usual Workout (Monday),1h 36min,Oblique Scrunches,1,0.0,10,0.0,0,,,,96,,2025-03-17,2025-03-17,Monday
2025-03-17 10:36:00,Usual Workout (Monday),1h 36min,Basic Scrunches,2,0.0,15,0.0,0,,,,96,,2025-03-17,2025-03-17,Monday
2025-03-17 10:36:00,Usual Workout (Monday),1h 36min,Basic Scrunches,1,0.0,15,0.0,0,,,,96,,2025-03-17,2025-03-17,Monday
2025-03-17 10:36:00,Usual Workout (Monday),1h 36min,Lat Pulldown (Cable),3,65.0,10,0.0,0,,,,96,650.0,2025-03-17,2025-03-17,Monday
2025-03-17 10:36:00,Usual Workout (Monday),1h 36min,Lat Pulldown (Cable),2,65.0,10,0.0,0,,,,96,650.0,2025-03-17,2025-03-17,Monday
2025-03-17 10:36:00,Usual Workout (Monday),1h 36min,Lat Pulldown (Cable),1,65.0,10,0.0,0,,,,96,650.0,2025-03-17,2025-03-17,Monday
2025-03-17 10:36:00,Usual Workout (Monday),1h 36min,Triceps Pushdown (Cable - Straight Bar),3,70.0,10,0.0,0,,,,96,700.0,2025-03-17,2025-03-17,Monday
2025-03-17 10:36:00,Usual Workout (Monday),1h 36min,Triceps Pushdown (Cable - Straight Bar),2,70.0,10,0.0,0,,,,96,700.0,2025-03-17,2025-03-17,Monday
2025-03-17 10:36:00,Usual Workout (Monday),1h 36min,Triceps Pushdown (Cable - Straight Bar),1,70.0,10,0.0,0,,,,96,700.0,2025-03-17,2025-03-17,Monday
2025-03-17 10:36:00,Usual Workout (Monday),1h 36min,Basic Scrunches,3,0.0,15,0.0,0,,,,96,,2025-03-17,2025-03-17,Monday
2025-03-24 11:19:31,Usual Workout (Monday),1h 35min,Oblique Scrunches,2,0.0,10,0.0,0,,,,95,,2025-03-24,2025-03-24,Monday
